1;Preloader_LoadBarFrontImage
2;Preloader_LoadBarBackImage
3;Preloader_LogoImage
0;Preloader
4;resource.AudioResource_flagCompleteLoud
5;resource.AudioResource_laser_loop_2
6;resource.AudioResource_smash_med_3
7;resource.AudioResource_PainSmall9
8;resource.AudioResource_gameCompleteMusic
9;resource.AudioResource_ui_collectCoin_02
10;resource.AudioResource_PainSmall12
11;resource.AudioResource_PUNCHLIGHT1
12;resource.AudioResource_PUNCHLIGHT2
13;resource.AudioResource_PUNCHLIGHT4
14;resource.AudioResource_Pain_Short_07
15;resource.AudioResource_Chi_Collect
16;resource.AudioResource_Pain_Short_03
17;resource.AudioResource_Victory_02
18;resource.AudioResource_Pain_Short_04
19;resource.AudioResource_Pain_Short_06
20;resource.AudioResource_Death12
21;resource.AudioResource_elevator_start
22;resource.AudioResource_Death11
23;resource.AudioResource_Chi_Absorb
24;resource.AudioResource_success
25;resource.AudioResource_Chi_Loop
26;resource.AudioResource_challenges_award
27;resource.AudioResource_Assemble1
28;resource.AudioResource_reflect
29;resource.AudioResource_Assemble3
30;resource.AudioResource_rocketshot
31;resource.AudioResource_PainBig2
32;resource.AudioResource_Death_06
33;resource.AudioResource_gameplayLoopMusic
34;resource.AudioResource_Death_05
35;resource.AudioResource_Death_04
36;resource.AudioResource_StudCollect3
37;resource.AudioResource_smash_small_4
38;resource.AudioResource_Negative_02
39;resource.AudioResource_Death_03
40;resource.AudioResource_StudCollect4
41;resource.AudioResource_Death_01
42;resource.AudioResource_sword_1
43;resource.AudioResource_sword_2
44;resource.AudioResource_sword_3
45;resource.AudioResource_Impact_Wood_03
46;resource.AudioResource_Impact_Wood_02
47;resource.AudioResource_Eagle_Turret_Laser_01
48;resource.AudioResource_Win19
49;resource.AudioResource_smash_small_1
50;resource.AudioResource_Impact_Wood_01
51;resource.AudioResource_sword3
52;resource.AudioResource_Eagle_Turret_Laser_02
53;resource.AudioResource_PainBig5
54;resource.AudioResource_PainBig3
55;resource.AudioResource_Win2
56;resource.AudioResource_Win1
57;resource.AudioResource_Chi_Explosion_02
58;resource.AudioResource_frontendMusic
59;resource.AudioResource_Chi_Explosion_03
60;resource.AudioResource_Chi_Explosion_01
61;resource.AudioResource_token_pickup_3
62;resource.AudioResource_CoinBlue
63;resource.AudioResource_StudCollect2
64;resource.AudioResource_StudCollect1
65;resource.AudioResource_Pain_Medium_02
66;resource.AudioResource_scythe_3
67;resource.AudioResource_Pain_Medium_03
68;resource.AudioResource_scythe_2
69;resource.AudioResource_scythe_1
70;resource.AudioResource_Pain_Medium_01
55;resource.AudioResource_Win2
44;resource.AudioResource_sword_3
